left_path,right_path,MSU 3DColor 2017,MSU 3DColor 2017 Confidence,Use
Flickr1024/Test/0001_L.png,Flickr1024/Test/0001_R.png,3.649637,233.465775,False
Flickr1024/Test/0002_L.png,Flickr1024/Test/0002_R.png,4.716027,234.498276,False
Flickr1024/Test/0003_L.png,Flickr1024/Test/0003_R.png,2.261895,238.731949,False
Flickr1024/Test/0004_L.png,Flickr1024/Test/0004_R.png,3.051781,231.97081,False
Flickr1024/Test/0005_L.png,Flickr1024/Test/0005_R.png,2.853161,228.15126,False
Flickr1024/Test/0006_L.png,Flickr1024/Test/0006_R.png,3.269006,229.399963,False
Flickr1024/Test/0007_L.png,Flickr1024/Test/0007_R.png,1.708262,241.947815,True
Flickr1024/Test/0008_L.png,Flickr1024/Test/0008_R.png,4.915104,131.782639,False
Flickr1024/Test/0009_L.png,Flickr1024/Test/0009_R.png,13.826573,151.202866,False
Flickr1024/Test/0010_L.png,Flickr1024/Test/0010_R.png,6.551192,228.467941,False
Flickr1024/Test/0011_L.png,Flickr1024/Test/0011_R.png,3.996243,247.533188,False
Flickr1024/Test/0012_L.png,Flickr1024/Test/0012_R.png,0.633065,183.659729,False
Flickr1024/Test/0013_L.png,Flickr1024/Test/0013_R.png,1.750663,250.434433,True
Flickr1024/Test/0014_L.png,Flickr1024/Test/0014_R.png,35.525097,82.177269,False
Flickr1024/Test/0015_L.png,Flickr1024/Test/0015_R.png,8.343373,242.595581,False
Flickr1024/Test/0016_L.png,Flickr1024/Test/0016_R.png,0.391814,246.23288,True
Flickr1024/Test/0017_L.png,Flickr1024/Test/0017_R.png,6.413624,243.185822,False
Flickr1024/Test/0018_L.png,Flickr1024/Test/0018_R.png,3.024713,235.551132,False
Flickr1024/Test/0019_L.png,Flickr1024/Test/0019_R.png,2.471954,243.237183,False
Flickr1024/Test/0020_L.png,Flickr1024/Test/0020_R.png,2.617704,236.557678,False
Flickr1024/Test/0021_L.png,Flickr1024/Test/0021_R.png,3.262676,236.691055,False
Flickr1024/Test/0022_L.png,Flickr1024/Test/0022_R.png,3.132632,243.589111,False
Flickr1024/Test/0023_L.png,Flickr1024/Test/0023_R.png,4.736321,243.058258,False
Flickr1024/Test/0024_L.png,Flickr1024/Test/0024_R.png,2.77299,250.417633,False
